gate,threshold,shift,selected_count_mean,selected_count_std,selected_rate_mean,selected_rate_std,overall_accuracy_mean,overall_accuracy_std,overall_macro_f1_mean,overall_macro_f1_std,surface_control_fne_mean,surface_control_fne_std,temporal_erased_fne_mean,temporal_erased_fne_std,sufficiency_control_fe_mean,sufficiency_control_fe_std,frame_location_mismatch_fe_mean,frame_location_mismatch_fe_std,frame_role_mismatch_fe_mean,frame_role_mismatch_fe_std,temporal_mismatch_fe_mean,temporal_mismatch_fe_std,predicate_mismatch_fe_mean,predicate_mismatch_fe_std,keeps_temporal_guard,keeps_predicate_guard,safe_sufficiency,safe_frame_location,safe_frame_role,passes_g1_gate
high_frame,0.70,0.4,138.333333,143.465443,0.406863,0.421957,0.714198,0.073478,0.423309,0.137617,0.383333,0.508363,0.640000,0.505866,0.083333,0.135769,0.633333,0.550757,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame,0.80,0,105.666667,143.472413,0.310784,0.421978,0.705556,0.064390,0.412541,0.129083,0.386667,0.506491,0.720000,0.409512,0.050000,0.086603,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame,0.80,0.1,105.666667,143.472413,0.310784,0.421978,0.709259,0.069611,0.416121,0.133841,0.386667,0.506491,0.696667,0.449704,0.053333,0.092376,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame,0.80,0.2,105.666667,143.472413,0.310784,0.421978,0.714198,0.076854,0.420339,0.139593,0.386667,0.506491,0.670000,0.495681,0.053333,0.092376,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame,0.80,0.25,105.666667,143.472413,0.310784,0.421978,0.714198,0.076854,0.420339,0.139593,0.386667,0.506491,0.670000,0.495681,0.053333,0.092376,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame,0.80,0.3,105.666667,143.472413,0.310784,0.421978,0.715432,0.078706,0.421379,0.141033,0.386667,0.506491,0.663333,0.507182,0.053333,0.092376,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame,0.80,0.4,105.666667,143.472413,0.310784,0.421978,0.713580,0.075933,0.420679,0.140063,0.386667,0.506491,0.660000,0.512933,0.066667,0.115470,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_sufficiency,0.60,0,208.666667,27.574142,0.613725,0.081100,0.705556,0.064390,0.412541,0.129083,0.386667,0.506491,0.720000,0.409512,0.050000,0.086603,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_sufficiency,0.60,0.1,208.666667,27.574142,0.613725,0.081100,0.709259,0.061864,0.417893,0.124054,0.380000,0.495177,0.706667,0.399291,0.050000,0.086603,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_sufficiency,0.60,0.2,208.666667,27.574142,0.613725,0.081100,0.717284,0.064052,0.426369,0.125258,0.370000,0.500899,0.673333,0.378726,0.050000,0.086603,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_sufficiency,0.60,0.25,208.666667,27.574142,0.613725,0.081100,0.721605,0.066983,0.430883,0.127274,0.360000,0.499300,0.650000,0.366606,0.050000,0.086603,0.633333,0.550757,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
