threshold,system,intervention_type,metric,mean,std,n,formatted
0.3,conservative_balanced_router,evidence_truncation,self_routed_balanced_pairwise_success_count,60.0,0.0,3,60.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,self_routed_balanced_pairwise_success_rate,1.0,0.0,3,1.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,self_routed_classifier_pairwise_success_count,60.0,0.0,3,60.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,self_routed_classifier_pairwise_success_rate,1.0,0.0,3,1.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,support_precision_gain,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,support_precision_post_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,support_precision_pre_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,support_recall_drop,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,support_recall_post_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,support_recall_pre_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,accuracy_delta,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,classifier_REFUTE_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,classifier_SUPPORT_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,classifier_accuracy,1.0,0.0,3,1.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,classifier_entitled_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,classifier_macro_f1,0.3333333333333333,0.0,3,0.333 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,downgrade_rate_among_classifier_entitled,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,downgraded_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,false_refute_removed_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,false_refute_removed_rate_among_classifier_false_refute,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,false_support_removed_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,false_support_removed_rate_among_classifier_false_support,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,gold_NOT_ENTITLED_count,60.0,0.0,3,60.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,gold_REFUTE_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,gold_SUPPORT_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,macro_f1_delta,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,n_examples,60.0,0.0,3,60.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,pairwise_applicable_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,pre_router_candidate_gate_fail_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,pre_router_candidate_gate_fail_rate,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,raw_classifier_pairwise_success_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,raw_classifier_pairwise_success_rate,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,refute_precision_gain,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,refute_precision_post_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,refute_precision_pre_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,refute_recall_drop,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,refute_recall_post_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,refute_recall_pre_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,routed_REFUTE_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,routed_SUPPORT_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,routed_accuracy,1.0,0.0,3,1.000 +/- 0.000
